epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.252,1.78529,2.24505,1.70098,0.19495,0.24326,0.11887,0.05106,2.1915,10.5345,2.94134,0.0702703,0.0033033,0.0033033
2,37.5629,1.87285,2.00865,1.74354,0.12036,0.06726,0.04645,0.01406,2.79449,8.29142,3.93512,0.0401389,0.00650523,0.00650523
3,53.6917,1.79365,1.9113,1.68728,0.2931,0.39685,0.29514,0.12045,1.9552,3.80658,2.04173,0.00987546,0.00957516,0.00957516
4,69.088,1.75989,1.90216,1.67605,0.24972,0.28195,0.17286,0.06803,2.04911,3.18931,2.16898,0.009406,0.009406,0.009406
5,84.6466,1.67106,1.78385,1.59819,0.39993,0.40102,0.28427,0.13422,1.95267,2.06232,2.00873,0.009208,0.009208,0.009208
6,101.036,1.66785,1.74957,1.57536,0.41219,0.5401,0.4521,0.22335,1.72638,1.90368,1.79484,0.00901,0.00901,0.00901
1,20.9271,1.74179,2.4123,1.63244,0.00011,0.0196,7e-05,1e-05,4.08785,inf,238.071,0.0706383,0.00326241,0.00326241
2,37.5999,1.91355,2.05591,1.74481,0.00046,0.0196,0.00024,7e-05,nan,nan,nan,0.0405077,0.00646515,0.00646515
3,54.7136,1.81508,1.98883,1.67949,0.06141,0.13526,0.03937,0.00949,2.81795,22.8567,3.66053,0.0102451,0.00953589,0.00953589
4,68.1315,1.71195,1.85226,1.59724,0.12594,0.17489,0.11067,0.04204,2.27298,5.22196,2.68319,0.009406,0.009406,0.009406
5,81.3134,1.6721,1.76363,1.57566,0.22511,0.2633,0.17285,0.07226,2.09315,4.13385,2.06805,0.009208,0.009208,0.009208
6,95.1944,1.63641,1.74899,1.52793,0.20948,0.229,0.09581,0.03715,2.41919,3.37612,2.66971,0.00901,0.00901,0.00901
7,108.492,1.61841,1.67865,1.53054,0.3384,0.47919,0.35654,0.15535,1.82743,2.26427,1.95375,0.008812,0.008812,0.008812
8,121.626,1.56959,1.64136,1.48614,0.35551,0.58052,0.37827,0.16505,1.70972,2.22062,1.72696,0.008614,0.008614,0.008614
9,147.009,1.54591,1.59437,1.46967,0.30563,0.56096,0.32047,0.152,1.65731,2.06272,1.74259,0.008416,0.008416,0.008416
10,181.842,1.51228,1.54961,1.45834,0.33945,0.58052,0.40169,0.20667,1.55855,1.86165,1.56539,0.008218,0.008218,0.008218
11,227.344,1.51067,1.54237,1.45541,0.53374,0.49964,0.5012,0.25134,1.75997,1.60287,1.70407,0.00802,0.00802,0.00802
12,281.473,1.48703,1.47105,1.43633,0.46355,0.66452,0.54925,0.28515,1.56322,1.63672,1.56643,0.007822,0.007822,0.007822
13,307.27,1.46772,1.49176,1.42356,0.68816,0.56788,0.64098,0.34294,1.50453,1.55164,1.498,0.007624,0.007624,0.007624
1,38.5287,1.82424,2.41259,1.68552,0.00111,0.01787,0.00016,5e-05,nan,nan,nan,0.0705357,0.00327381,0.00327381
2,61.8264,1.89184,2.0593,1.74235,0.02646,0.09692,0.00602,0.00162,3.26868,inf,27.9154,0.0404703,0.00654173,0.00654173
3,84.7745,1.78103,1.94311,1.65445,0.00449,0.37432,0.00325,0.0012,3.07608,78.9807,5.57421,0.0103389,0.00974365,0.00974365
