epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1035,1.58029,2.12991,1.29794,0.47174,0.56701,0.46133,0.22305,1.61121,1.58852,1.32109,0.000554469,0.000554469,0.000554469
2,166.045,1.70207,1.72892,1.37538,0.47906,0.5778,0.47177,0.21608,1.65819,1.58301,1.36331,0.00109915,0.00109915,0.00109915
3,274.026,1.66049,1.64835,1.38138,0.42482,0.52655,0.40591,0.19074,1.66908,1.59112,1.35485,0.00163282,0.00163282,0.00163282
4,355.1,1.63091,1.60681,1.36882,0.50724,0.60338,0.53631,0.2728,1.54077,1.36005,1.27065,0.00161749,0.00161749,0.00161749
5,436.189,1.57809,1.50594,1.32586,0.52136,0.5489,0.52546,0.2541,1.67405,1.45318,1.36498,0.00160099,0.00160099,0.00160099
6,526.867,1.57968,1.48422,1.31194,0.5314,0.56297,0.55221,0.2821,1.52389,1.2834,1.23472,0.00158448,0.00158448,0.00158448
7,607.88,1.50283,1.41564,1.29116,0.54984,0.67394,0.60731,0.31406,1.44259,1.28148,1.21001,0.00156798,0.00156798,0.00156798
8,688.782,1.5124,1.40442,1.28802,0.53458,0.66813,0.62518,0.32636,1.43527,1.22602,1.23265,0.00155148,0.00155148,0.00155148
9,791.417,1.48686,1.37646,1.26495,0.56468,0.63036,0.61897,0.32912,1.44648,1.19909,1.19124,0.00153497,0.00153497,0.00153497
10,873.042,1.46509,1.3635,1.25408,0.58623,0.68032,0.63662,0.35158,1.37948,1.17035,1.175,0.00151847,0.00151847,0.00151847
11,953.67,1.44503,1.30954,1.24981,0.56695,0.65913,0.62557,0.34011,1.42281,1.21456,1.19844,0.00150197,0.00150197,0.00150197
12,1049.64,1.4219,1.34091,1.25399,0.55398,0.65184,0.61741,0.34532,1.3829,1.17487,1.1855,0.00148546,0.00148546,0.00148546
13,1130.26,1.40909,1.26935,1.22471,0.62311,0.69729,0.67914,0.37853,1.34974,1.0882,1.14193,0.00146896,0.00146896,0.00146896
14,1211.15,1.39993,1.22656,1.22036,0.56565,0.70807,0.67344,0.38151,1.32235,1.10589,1.15474,0.00145246,0.00145246,0.00145246
15,1299.99,1.39372,1.22537,1.22292,0.64494,0.67526,0.69504,0.39368,1.33302,1.14307,1.15981,0.00143595,0.00143595,0.00143595
16,1380.58,1.40623,1.24189,1.2186,0.63247,0.69387,0.6877,0.38026,1.36349,1.1099,1.15146,0.00141945,0.00141945,0.00141945
17,1459.92,1.37298,1.18462,1.21621,0.66381,0.71742,0.72361,0.42397,1.31288,1.03018,1.12989,0.00140295,0.00140295,0.00140295
18,1558.93,1.36106,1.19964,1.20229,0.64621,0.68764,0.70947,0.41238,1.28796,1.0525,1.13556,0.00138644,0.00138644,0.00138644
19,1638.4,1.35693,1.16453,1.20271,0.66021,0.69016,0.70108,0.40217,1.29158,1.03267,1.13525,0.00136994,0.00136994,0.00136994
20,1717.17,1.34886,1.15781,1.20775,0.70628,0.67313,0.72514,0.42343,1.29931,1.00643,1.12744,0.00135344,0.00135344,0.00135344
21,1807.86,1.32156,1.13955,1.18432,0.62379,0.69542,0.70217,0.41703,1.29821,1.01603,1.13288,0.00133693,0.00133693,0.00133693
22,1888.5,1.32611,1.12525,1.18835,0.65569,0.70184,0.71617,0.41112,1.30504,1.01831,1.11698,0.00132043,0.00132043,0.00132043
23,1969.73,1.31432,1.11869,1.17702,0.69746,0.67655,0.72267,0.41802,1.28832,0.9876,1.12608,0.00130393,0.00130393,0.00130393
24,2050.1,1.31106,1.08203,1.16956,0.69393,0.68413,0.73147,0.43422,1.27837,0.95621,1.10087,0.00128742,0.00128742,0.00128742
25,2130.35,1.28721,1.08136,1.16921,0.72499,0.67188,0.74551,0.44575,1.24742,0.94385,1.10161,0.00127092,0.00127092,0.00127092
26,2211.01,1.29893,1.08605,1.16658,0.68431,0.70887,0.72373,0.43002,1.27532,0.96383,1.11224,0.00125442,0.00125442,0.00125442
27,2300.45,1.2792,1.05613,1.15506,0.68802,0.69276,0.73855,0.44301,1.24633,0.93212,1.10369,0.00123791,0.00123791,0.00123791
28,2380.52,1.28498,1.06202,1.16906,0.67022,0.69266,0.71971,0.43965,1.23613,0.96092,1.09573,0.00122141,0.00122141,0.00122141
