epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.354,1.45432,3.48984,1.23164,0.77392,0.07414,0.23424,0.11439,1.31642,2.84487,1.09817,0.0672845,0.00033046,0.00033046
2,36.3635,1.32922,2.58854,1.17361,0.36713,0.62579,0.39608,0.19413,1.37544,1.94437,1.14532,0.0342834,0.000662731,0.000662731
3,52.6932,1.34548,2.05628,1.17823,0.45595,0.70266,0.50129,0.28441,1.27999,1.61463,1.11529,0.00128129,0.000993936,0.000993936
4,68.8132,1.30784,1.78864,1.145,0.57577,0.68688,0.6435,0.36995,1.25367,1.42883,1.10276,0.0009952,0.0009952,0.0009952
5,84.948,1.25794,1.63146,1.11646,0.62787,0.65458,0.67857,0.40119,1.22672,1.36301,1.08773,0.0009936,0.0009936,0.0009936
6,101.703,1.24324,1.56126,1.11027,0.66964,0.6701,0.71067,0.42377,1.21072,1.27906,1.07471,0.000992,0.000992,0.000992
7,117.942,1.21096,1.47488,1.10167,0.65953,0.68419,0.72338,0.43626,1.18763,1.22326,1.06683,0.0009904,0.0009904,0.0009904
8,134.167,1.20923,1.41992,1.09298,0.69885,0.69205,0.75547,0.45094,1.18929,1.17367,1.0779,0.0009888,0.0009888,0.0009888
9,150.177,1.15595,1.35495,1.0751,0.71988,0.73457,0.78518,0.47543,1.17432,1.13614,1.05521,0.0009872,0.0009872,0.0009872
10,166.196,1.19831,1.35997,1.0855,0.72513,0.74199,0.77984,0.4853,1.16475,1.09105,1.06136,0.0009856,0.0009856,0.0009856
11,182.356,1.17547,1.28608,1.08346,0.7228,0.74807,0.78169,0.47553,1.15808,1.10383,1.04475,0.000984,0.000984,0.000984
12,198.302,1.15327,1.24066,1.07567,0.75409,0.71386,0.77857,0.48743,1.14369,1.09252,1.04588,0.0009824,0.0009824,0.0009824
13,214.358,1.14731,1.23001,1.07501,0.7049,0.70776,0.76819,0.46996,1.17374,1.08504,1.05466,0.0009808,0.0009808,0.0009808
14,230.62,1.15985,1.21824,1.07098,0.72107,0.72314,0.78785,0.47971,1.16591,1.03927,1.04825,0.0009792,0.0009792,0.0009792
15,246.78,1.1294,1.17744,1.06291,0.7631,0.74061,0.81038,0.50285,1.14266,1.00627,1.03712,0.0009776,0.0009776,0.0009776
16,262.915,1.12183,1.16003,1.05992,0.75272,0.73435,0.80073,0.50796,1.11121,0.98242,1.01745,0.000976,0.000976,0.000976
17,279.03,1.12891,1.14747,1.0551,0.76454,0.71333,0.79302,0.49718,1.14821,0.99212,1.03266,0.0009744,0.0009744,0.0009744
18,295.129,1.1118,1.15166,1.04884,0.74116,0.75438,0.8001,0.49703,1.10081,0.96277,1.03649,0.0009728,0.0009728,0.0009728
19,311.196,1.11503,1.11244,1.0541,0.77154,0.72759,0.79543,0.50606,1.11868,0.95158,1.02805,0.0009712,0.0009712,0.0009712
20,327.374,1.11222,1.08862,1.04011,0.74234,0.73693,0.79463,0.50249,1.09905,0.9202,1.0159,0.0009696,0.0009696,0.0009696
21,343.404,1.09245,1.05666,1.0409,0.75083,0.73959,0.79212,0.49315,1.13189,0.94446,1.03337,0.000968,0.000968,0.000968
22,359.38,1.10153,1.06975,1.04521,0.76029,0.72278,0.80191,0.50771,1.11618,0.89423,1.03065,0.0009664,0.0009664,0.0009664
23,375.419,1.09244,1.0504,1.0469,0.75786,0.73153,0.80709,0.51006,1.11397,0.89285,1.03743,0.0009648,0.0009648,0.0009648
24,391.459,1.09125,1.03624,1.03309,0.76489,0.74975,0.81686,0.52788,1.09512,0.87166,1.01528,0.0009632,0.0009632,0.0009632
25,407.584,1.07414,1.02066,1.02826,0.76663,0.7294,0.80348,0.50904,1.12119,0.87097,1.03539,0.0009616,0.0009616,0.0009616
26,423.771,1.08898,1.0044,1.03357,0.76222,0.73498,0.81679,0.526,1.09063,0.86275,1.02138,0.00096,0.00096,0.00096
27,439.66,1.06918,0.9975,1.03589,0.75879,0.75801,0.80718,0.51517,1.09918,0.86258,1.02675,0.0009584,0.0009584,0.0009584
28,455.686,1.07779,0.99193,1.03546,0.74402,0.7497,0.81117,0.51316,1.11865,0.84567,1.03022,0.0009568,0.0009568,0.0009568
29,471.634,1.07689,0.99264,1.02979,0.69446,0.70967,0.75965,0.48052,1.11429,0.92924,1.03496,0.0009552,0.0009552,0.0009552
30,487.561,1.07052,0.97389,1.03021,0.7684,0.75632,0.83302,0.52998,1.10602,0.82875,1.02517,0.0009536,0.0009536,0.0009536
31,503.577,1.06674,0.95847,1.0318,0.73599,0.7376,0.78726,0.50385,1.08041,0.86182,1.01086,0.000952,0.000952,0.000952
32,519.732,1.07141,0.96368,1.0147,0.7608,0.73963,0.80884,0.51502,1.11011,0.83981,1.02323,0.0009504,0.0009504,0.0009504
33,535.708,1.03939,0.93842,1.02712,0.75895,0.76371,0.81877,0.52536,1.11365,0.80141,1.03663,0.0009488,0.0009488,0.0009488
34,551.74,1.04257,0.92069,1.02337,0.77895,0.73158,0.81816,0.52267,1.11302,0.82728,1.03202,0.0009472,0.0009472,0.0009472
35,567.842,1.03368,0.92296,1.02128,0.75966,0.74974,0.81688,0.52942,1.08493,0.83198,1.01813,0.0009456,0.0009456,0.0009456
36,583.832,1.04274,0.92792,1.017,0.73773,0.75847,0.80726,0.52211,1.09047,0.82441,1.0165,0.000944,0.000944,0.000944
