epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2132,1.41508,2.74652,1.2119,0.53692,0.32071,0.3794,0.2122,1.38031,2.30717,1.15635,0.0702586,0.0033046,0.0033046
2,35.8104,1.43461,1.80497,1.20649,0.39893,0.43748,0.35747,0.18543,1.52128,2.13572,1.27743,0.040248,0.00662731,0.00662731
3,52.1411,1.48056,1.73053,1.24101,0.51233,0.54045,0.49381,0.22277,1.66324,1.66393,1.38511,0.0102267,0.00993936,0.00993936
4,68.2698,1.53836,1.67935,1.27431,0.53418,0.52953,0.50703,0.26186,1.52505,1.66763,1.30703,0.009952,0.009952,0.009952
5,84.6769,1.5154,1.60515,1.26657,0.58128,0.55772,0.57164,0.28932,1.5142,1.4731,1.29836,0.009936,0.009936,0.009936
6,100.678,1.49218,1.53497,1.26035,0.5258,0.58793,0.55198,0.29314,1.49651,1.45696,1.27448,0.00992,0.00992,0.00992
7,116.985,1.45776,1.46166,1.2553,0.45043,0.55068,0.47138,0.2587,1.47448,1.58438,1.26753,0.009904,0.009904,0.009904
8,133.129,1.45113,1.40163,1.23929,0.61675,0.58792,0.60974,0.32006,1.41357,1.48781,1.25097,0.009888,0.009888,0.009888
9,149.199,1.40184,1.35161,1.2212,0.58155,0.67238,0.65277,0.35318,1.4295,1.33787,1.27147,0.009872,0.009872,0.009872
10,165.496,1.42121,1.33352,1.22068,0.63752,0.68638,0.65631,0.36518,1.37607,1.20957,1.19576,0.009856,0.009856,0.009856
11,181.626,1.41383,1.29507,1.22995,0.63934,0.6148,0.6427,0.34019,1.43287,1.30799,1.26961,0.00984,0.00984,0.00984
12,197.996,1.38632,1.24786,1.21271,0.67939,0.65406,0.70138,0.40678,1.33603,1.12434,1.18034,0.009824,0.009824,0.009824
13,213.843,1.36758,1.22376,1.21497,0.61943,0.65035,0.63921,0.34352,1.45138,1.23515,1.2311,0.009808,0.009808,0.009808
14,230.114,1.37506,1.22141,1.20896,0.71763,0.69107,0.74587,0.42167,1.33079,1.04298,1.19286,0.009792,0.009792,0.009792
15,245.952,1.34484,1.17753,1.20143,0.70055,0.63262,0.67501,0.37734,1.38752,1.14073,1.20903,0.009776,0.009776,0.009776
16,261.97,1.34171,1.15419,1.20062,0.69207,0.70815,0.73701,0.42829,1.31615,1.03854,1.1793,0.00976,0.00976,0.00976
17,277.976,1.34798,1.15358,1.18945,0.70125,0.69779,0.74139,0.41863,1.34192,1.05313,1.1983,0.009744,0.009744,0.009744
