epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.107,1.47985,2.21494,1.2843,0.41919,0.49509,0.42787,0.22064,1.49333,1.80004,1.37552,0.000553272,0.000553272,0.000553272
2,577.111,1.57941,1.60709,1.3684,0.46643,0.64276,0.53129,0.26765,1.57206,1.67269,1.44166,0.00107234,0.00107234,0.00107234
3,799.486,1.58442,1.57863,1.36662,0.39352,0.50808,0.40532,0.19998,1.6654,1.77274,1.47112,0.00155474,0.00155474,0.00155474
4,1041.74,1.53215,1.51172,1.32957,0.5348,0.58318,0.55006,0.2681,1.50296,1.44443,1.36888,0.00150197,0.00150197,0.00150197
5,1248.11,1.4934,1.41886,1.30837,0.55581,0.64611,0.60735,0.32367,1.46257,1.33518,1.32595,0.00144696,0.00144696,0.00144696
6,1479.98,1.45135,1.37654,1.28699,0.58103,0.67079,0.64541,0.3515,1.39702,1.22556,1.27639,0.00139195,0.00139195,0.00139195
7,1665.46,1.45515,1.34823,1.26916,0.63834,0.60643,0.63955,0.34182,1.44218,1.23426,1.27843,0.00133693,0.00133693,0.00133693
8,1890.93,1.39495,1.29183,1.24159,0.61051,0.68498,0.64025,0.35152,1.35076,1.1508,1.24553,0.00128192,0.00128192,0.00128192
9,2105.43,1.3622,1.20692,1.22846,0.66383,0.65784,0.69421,0.39464,1.32797,1.10439,1.23411,0.00122691,0.00122691,0.00122691
10,2319.95,1.36394,1.20684,1.23229,0.64955,0.6796,0.69651,0.39605,1.33818,1.0864,1.23199,0.0011719,0.0011719,0.0011719
11,2525.96,1.37284,1.17127,1.23441,0.66402,0.64488,0.7058,0.4057,1.29484,1.08006,1.19377,0.00111689,0.00111689,0.00111689
12,2763.93,1.30698,1.12944,1.19584,0.67099,0.71881,0.73512,0.44622,1.22731,1.01295,1.16818,0.00106188,0.00106188,0.00106188
13,2951.55,1.3117,1.11703,1.20303,0.68653,0.74062,0.76892,0.45561,1.23446,0.99929,1.17662,0.00100687,0.00100687,0.00100687
14,3196.67,1.27695,1.0789,1.18283,0.70261,0.71667,0.75827,0.45779,1.22151,0.99394,1.1876,0.000951857,0.000951857,0.000951857
15,3423.17,1.27034,1.06113,1.18713,0.70628,0.70266,0.77344,0.472,1.22205,0.9489,1.17394,0.000896846,0.000896846,0.000896846
16,3639.73,1.24395,1.03161,1.17292,0.68697,0.76897,0.78725,0.49182,1.16797,0.91537,1.1606,0.000841835,0.000841835,0.000841835
17,3833.42,1.23203,1.03499,1.16434,0.721,0.70863,0.77252,0.47384,1.18542,0.94092,1.14242,0.000786824,0.000786824,0.000786824
18,4066.22,1.20498,0.99452,1.1483,0.71007,0.73952,0.76348,0.46112,1.19462,0.96876,1.15796,0.000731813,0.000731813,0.000731813
19,4262.6,1.18268,0.96985,1.1365,0.7126,0.75196,0.8006,0.49802,1.17224,0.88428,1.15885,0.000676802,0.000676802,0.000676802
20,4490.51,1.17117,0.95441,1.14841,0.76666,0.71429,0.8058,0.51065,1.12897,0.83674,1.12053,0.000621791,0.000621791,0.000621791
21,4766.8,1.15014,0.86072,1.12008,0.77275,0.72037,0.81633,0.51301,1.1401,0.82862,1.12208,0.00056678,0.00056678,0.00056678
22,4973.72,1.127,0.81281,1.1123,0.77384,0.73009,0.81915,0.51637,1.15246,0.82332,1.14064,0.000511769,0.000511769,0.000511769
23,5172.88,1.11779,0.8146,1.11156,0.73876,0.75387,0.80814,0.5158,1.11077,0.81834,1.10542,0.000456758,0.000456758,0.000456758
24,5407.55,1.10193,0.79383,1.08883,0.73775,0.7712,0.82043,0.51293,1.11415,0.81364,1.1026,0.000401747,0.000401747,0.000401747
25,5629.26,1.07041,0.78177,1.0765,0.79228,0.71347,0.80375,0.5162,1.08248,0.86712,1.0985,0.000346736,0.000346736,0.000346736
26,5885.49,1.05996,0.74597,1.0606,0.80719,0.71878,0.82631,0.53526,1.08761,0.7659,1.09678,0.000291725,0.000291725,0.000291725
27,6134.9,1.04626,0.74154,1.06496,0.78072,0.75572,0.82832,0.54,1.0718,0.75534,1.0996,0.000236714,0.000236714,0.000236714
28,6372.27,1.02388,0.71138,1.06067,0.76154,0.76216,0.82633,0.53713,1.0715,0.75452,1.08427,0.000181703,0.000181703,0.000181703
29,6579.48,1.01292,0.69571,1.05027,0.76773,0.76203,0.82741,0.5441,1.06889,0.75936,1.08604,0.000126692,0.000126692,0.000126692
30,6794.18,1.00027,0.67134,1.05385,0.75023,0.78135,0.84034,0.55439,1.04031,0.72979,1.07793,7.1681e-05,7.1681e-05,7.1681e-05
